day,time_of_day,hr,hrv_rmssd,activity_load,hr_zone,spo2,lf_hf_ratio,sleep_quality,resting_hr,temperature,rr_interval,is_workout,fatigue,fitness_gain,ces_score,safety_label,strategy_label,source
0,0.0,61.5,43.9,2.7,0,98.7,2.549,4.8,71.2,36.8,968.7,0,0.0,0.0,84,0,0,synthetic
0,0.0208,61.7,40.4,1.05,0,98.7,1.666,5.9,69.9,36.6,977.2,0,0.0,0.0,83,0,0,synthetic
0,0.0417,57.5,33.7,1.87,0,98.8,2.456,6.5,66.9,36.7,1025.3,0,0.0,0.0,80,0,0,synthetic
0,0.0625,61.7,40.2,0.7,0,99.3,2.183,6.6,66.7,36.7,956.0,0,0.0,0.0,83,0,0,synthetic
0,0.0833,63.5,35.2,1.44,0,99.8,2.497,5.3,69.5,36.7,942.6,0,0.0,0.0,80,0,0,synthetic
0,0.1042,60.7,51.2,1.67,0,98.8,2.031,6.7,66.2,36.7,981.9,0,0.0,0.0,87,0,0,synthetic
0,0.125,60.3,49.9,0.52,0,99.2,2.271,7.8,66.3,36.7,999.8,0,0.0,0.0,87,0,0,synthetic
0,0.1458,66.1,43.6,1.49,0,98.9,2.505,7.1,66.2,36.7,923.4,0,0.0,0.0,84,0,0,synthetic
0,0.1667,65.1,39.8,2.78,0,99.4,2.568,6.1,62.8,36.8,923.2,0,0.0,0.0,82,0,0,synthetic
0,0.1875,64.0,52.2,1.44,0,99.0,2.153,7.6,65.0,36.6,929.4,0,0.0,0.0,88,0,0,synthetic
0,0.2083,68.7,47.6,2.91,0,99.4,2.559,7.7,66.6,36.7,867.8,0,0.0,0.0,86,0,0,synthetic
0,0.2292,62.6,23.8,2.95,0,99.1,2.453,5.5,67.4,36.7,965.1,0,0.0,0.0,75,1,1,synthetic
0,0.25,73.7,46.4,1.59,0,99.0,1.952,5.7,68.1,37.0,811.7,0,0.0,0.0,83,0,0,synthetic
0,0.2708,69.9,47.7,0.93,0,99.0,2.322,7.8,65.7,36.8,844.1,0,0.0,0.0,85,0,0,synthetic
0,0.2917,74.3,33.8,2.4,0,98.7,2.447,7.6,66.0,36.7,809.3,0,0.0,0.0,78,0,0,synthetic
0,0.3125,69.6,45.1,2.53,0,98.9,2.586,4.9,65.6,36.6,885.9,0,0.0,0.0,84,0,0,synthetic
0,0.3333,69.7,42.4,3.27,0,98.9,2.701,6.7,68.5,36.8,837.3,0,0.0,0.0,83,0,0,synthetic
0,0.3542,73.4,33.5,0.78,0,99.4,2.4,8.4,66.3,36.7,822.4,0,0.0,0.0,78,0,0,synthetic
0,0.375,71.6,46.9,0.98,0,99.1,2.347,4.7,68.6,36.6,865.8,0,0.0,0.0,84,0,0,synthetic
0,0.3958,75.8,50.9,2.46,0,98.7,2.292,7.2,65.7,36.8,798.1,0,0.0,0.0,85,0,0,synthetic
0,0.4167,77.4,60.2,0.78,0,98.6,1.986,5.7,67.8,36.8,779.4,0,0.0,0.0,88,0,0,synthetic
0,0.4375,77.9,66.9,2.88,0,99.0,2.238,7.0,67.9,36.6,777.7,0,0.0,0.0,91,0,0,synthetic
0,0.4583,75.1,50.7,0.55,0,99.0,2.246,8.7,66.3,36.6,792.7,0,0.0,0.0,85,0,0,synthetic
0,0.4792,78.5,50.7,1.01,0,99.0,2.308,5.1,71.5,36.7,747.2,0,0.0,0.0,84,0,0,synthetic
0,0.5,77.1,49.5,2.59,0,98.7,2.743,5.4,69.0,36.8,786.2,0,0.0,0.0,84,0,0,synthetic
0,0.5208,87.5,55.6,2.89,0,99.3,2.568,5.5,68.4,36.7,682.2,0,0.0,0.0,83,0,0,synthetic
0,0.5417,74.3,45.7,1.9,0,98.5,2.413,6.8,67.1,36.8,808.8,0,0.0,0.0,83,0,0,synthetic
0,0.5625,72.2,49.4,2.81,0,98.6,2.984,6.7,71.7,36.5,834.3,0,0.0,0.0,85,0,0,synthetic
0,0.5833,72.9,51.8,1.82,0,98.8,2.659,5.1,67.1,36.7,849.0,0,0.0,0.0,86,0,0,synthetic
0,0.6042,75.6,48.0,2.48,0,99.5,2.181,5.2,71.7,36.9,783.4,0,0.0,0.0,84,0,0,synthetic
0,0.625,75.0,51.2,1.92,0,99.0,2.16,6.3,67.5,36.6,824.6,0,0.0,0.0,85,0,0,synthetic
0,0.6458,68.6,44.0,2.41,0,98.9,2.445,7.7,72.7,36.6,881.8,0,0.0,0.0,84,0,0,synthetic
0,0.6667,72.6,40.2,0.58,0,99.2,2.13,7.1,71.2,36.6,858.5,0,0.0,0.0,81,0,0,synthetic
0,0.6875,65.2,48.5,3.32,0,99.0,2.501,5.3,68.4,36.6,932.9,0,0.0,0.0,86,0,0,synthetic
0,0.7083,71.1,39.5,2.39,0,99.1,2.546,7.5,66.3,36.7,854.6,0,0.0,0.0,81,0,0,synthetic
0,0.7292,70.9,30.7,3.47,0,98.6,2.491,7.7,70.3,36.7,863.0,0,0.0,0.0,77,0,0,synthetic
0,0.75,70.5,51.5,0.81,0,99.0,2.332,8.1,69.4,36.7,856.2,0,0.0,0.0,87,0,0,synthetic
0,0.7708,66.6,60.3,3.35,0,99.3,2.245,5.3,67.1,36.8,913.2,0,0.0,0.0,91,0,0,synthetic
0,0.7917,67.8,50.0,0.77,0,98.8,2.137,7.0,70.0,36.7,872.5,0,0.0,0.0,87,0,0,synthetic
0,0.8125,64.0,49.9,0.93,0,99.4,2.081,8.0,68.4,36.6,941.4,0,0.0,0.0,87,0,0,synthetic
0,0.8333,59.7,33.7,2.94,0,98.8,2.801,4.5,68.6,36.8,1018.6,0,0.0,0.0,80,0,0,synthetic
0,0.8542,62.7,42.6,0.83,0,99.0,2.014,5.2,67.9,36.7,945.3,0,0.0,0.0,84,0,0,synthetic
0,0.875,63.9,57.3,3.39,0,98.6,2.441,7.5,68.4,36.7,940.4,0,0.0,0.0,90,0,0,synthetic
0,0.8958,59.3,63.2,3.41,0,99.1,2.527,6.5,71.7,36.8,1014.0,0,0.0,0.0,93,0,0,synthetic
0,0.9167,67.6,38.5,1.33,0,99.0,1.969,6.0,66.5,36.7,892.2,0,0.0,0.0,82,0,0,synthetic
0,0.9375,66.2,49.6,1.43,0,99.3,2.406,6.2,71.0,36.8,898.8,0,0.0,0.0,87,0,0,synthetic
0,0.9583,55.1,55.8,3.41,0,99.1,2.669,5.9,64.8,36.6,1088.4,0,0.0,0.0,89,0,0,synthetic
